2024년 귀속 단순기준경비율,,,,,,,,,
,,,,,,,,,
귀속연도,업종코드,업태명,중분류,세분류,세세분류,적용기준내용,단순경비율(일반율),단순경비율(초과율),기준경비율(일반율)
2024,011000,"농업, 임업 및 어업",농업,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,"◦곡물작물, 식량용 뿌리작물, 콩과 작물 및 기타식량작물을 재배하는 산업활동을 말한다.
<예 시>
·벼, 보리, 밀, 수수 재배        ·감자, 고구마 재배         ·메밀 재배 
·옥수수, 콩, 녹두 재배

<제 외>
·작물의 종묘 생산(011003)   ·시설작물 재배(011007~011009)
·사료용 작물 재배(011006)   ·과실, 견과, 음료용 또는 향신용 작물 재배(011004,011005)",0.0,0.0,0.0
2024,011001,"농업, 임업 및 어업",농업,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,"◦노지에서 각종 채소작물을 재배하는 산업활동을 말한다. 노지에서 깻잎 등과 같이 채소로 사용하기 위하여 각종 작물을 재배하는 경우에도 여기에 분류된다.
<예 시>
·풋마늘, 마늘 및 풋고추 재배
·파 및 양파 재배
·아스파라거스 재배
·참외, 수박 및 멜론, 딸기, 토마토 등 과일채소 재배
·잎채소 재배
<제 외>
·채소작물 종자 및 묘목 생산(011003)
·커피, 코코아, 차, 겨자, 붉은 고추 등의 음료용 또는 향신용 작물 재배(011005)
·콩나물, 버섯 및 기타 채소작물의 시설재배(011007~011009)",93.5,0.0,9.7
2024,011002,"농업, 임업 및 어업",농업,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,"◦노지에서 화초, 잔디, 관상수 등과 같은 장식, 관상, 조원 및 조경용의 수목◦꽃◦풀 등을 재배하는 산업활동을 말한다.
<예 시>
·정원수 재배
·조원용 풀 재배
·절화용 화초 재배
·분재 재배
<제 외>
·화훼작물의 종자 및 묘목 생산(011003)
·화훼작물의 시설재배(011008)
·공원에 화훼작물 식재 및 관리 활동(749303)",93.5,0.0,5.4
2024,011003,"농업, 임업 및 어업",농업,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,"◦노지 또는 시설에서 각종 농작물의 종자, 버섯 종균, 묘목 등을 생산하는 산업활동을 말한다.
<예 시>
·채소, 화초, 과수 종자 생산
·채소, 화초, 과수 묘목 생산
·버섯 종균 생산
·접수 및 삽수 묘목 생산
·화초 종근 생산
·벼 모판 생산
<제 외>
·육림용 종자 및 묘목 생산(020100)
·종균 없는 버섯재배용 배지 혼합·발효생산(369908)
·종균 없는 버섯재배용 배지 단순 혼합 생산·판매(G)
·공원에 화훼작물 식재 및 관리 활동(749303)",93.5,0.0,5.9
2024,011004,"농업, 임업 및 어업",농업,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,"◦노지에서 견과(땅콩 제외)를 포함한 각종 과실작물을 재배하는 산업활동을 말한다.
<예 시>
·밤, 호두 및 대추 재배
·복숭아, 포도 및 감귤 재배
·바나나 재배
·키위 및 망고스틴 재배
·무화과 재배
<제 외>
·호프 재배(011006)
·낙화생(땅콩) 재배(011006)
·유지(기름 추출용) 작물 재배(011006)
·멜론, 수박, 토마토 및 기타 과일채소 노지재배(011001)",93.5,0.0,5.8
2024,011005,"농업, 임업 및 어업",농업,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,"◦노지에서 음료용 또는 향신용 작물을 재배하는 산업활동을 말한다.
<예 시>
·고추(풋고추 제외) 재배
·생강 재배
·정향 재배
·녹차용 작물 재배
·커피 재배
·코코아 재배
<제 외>
·커피 가공(154901), 차류 가공(154905)
·향신료 가공(154501,154509)",93.5,0.0,9.0
2024,011006,"농업, 임업 및 어업",농업,기타 작물 재배업,기타 작물 재배업,"◦노지에서 약용작물, 사료작물, 기름추출용 작물 및 공업용 원료작물 등 달리 분류되지 않은 기타 작물을 재배하는 산업활동을 말한다.
<예 시>
·인삼 재배
·호프 재배
·섬유작물 재배
·비 및 솔 제조용 작물 재배
·유지작물 재배
·조물재료용 작물 재배 
·낙화생(땅콩) 재배
·잎담배 재배
<제 외>
·곡물 및 기타 식량작물 재배(011000) 
·음료용 및 향신용 작물 재배(011005)
·작물 배양 재배(011009)
·식용과 사료용으로 모두 가능한 작물은 해당 작물 재배업으로 분류",93.5,0.0,11.1
2024,011007,"농업, 임업 및 어업",농업,시설작물 재배업,기타 시설작물 재배업,◦콩나물을 재배하는 산업활동을 말한다.,93.5,0.0,4.4
2024,011008,"농업, 임업 및 어업",농업,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업","◦시설 내에서 채소, 화훼 및 과실작물을 재배하는 산업활동을 말한다.
<제 외>
·음료용 및 향신용, 공예용 작물 시설 재배(011009)",93.5,0.0,14.4
2024,011009,"농업, 임업 및 어업",농업,시설작물 재배업,기타 시설작물 재배업,"◦콩나물, 채소, 화훼 및 과실작물 이외의 각종 작물을 시설 재배하는 산업활동을 말한다.
<예 시>
··버섯 재배
·작물 배양 재배
·음료용 작물 시설재배
·공예작물 시설재배
·향신용 작물 시설재배
<제 외>
·화훼작물 시설 재배(011008)
·노지 및 시설 내에서 종묘 생산(011003)
·콩나물 재배(011007)",93.5,0.0,9.4
